00008,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,1830,76,90,228,crushing hangingPiece long middlegame,https://lichess.org/787zsVup/black#48
0000D,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1553,74,97,4336,advantage endgame short,https://lichess.org/F8M8OS71#53
0009B,r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16,b6c5 e2g4 h3g4 d1g4,1123,75,85,481,advantage middlegame short,https://lichess.org/4MWQCxQ6/black#32
000aY,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1369,74,91,262,advantage master middlegame short,https://lichess.org/iihZGl6t#29
000h7,3q1rk1/1pp3pp/5p1P/4pPP1/rb1pP3/3P1N2/b1P1B3/2QK2RR b - - 7 26,d8a8 g5g6 h7g6 h6g7,2318,87,83,220,advancedPawn crushing kingsideAttack middlegame quietMove short,https://lichess.org/FLmpZbTm/black#52
000tp,4r3/5pk1/1p3np1/3p3p/2qQ4/P4N1P/1P3RP1/7K w - - 6 34,d4b6 f6e4 h1g1 e4f2,2038,76,80,86,crushing endgame short trappedPiece,https://lichess.org/GeXqsW90#67
00143,r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1863,75,92,1028,advantage middlegame short,https://lichess.org/jcuxlI63/black#34
0018S,2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2490,78,92,512,advantage endgame pin short,https://lichess.org/H1ARO2GL/black#40
001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1138,80,87,44,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42
001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1040,82,100,162,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51
001u3,2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2174,83,52,62,advantage hangingPiece middlegame short,https://lichess.org/BBn6ipaK/black#66
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1378,75,95,2046,advantage endgame master masterVsMaster short skewer superGM,https://lichess.org/bEQkfPQD/black#80
00206,r3kb1r/pppqpn1p/5p2/3p1bpQ/2PP4/4P1B1/PP3PPP/RN2KB1R w KQkq - 1 11,b1c3 f5g4 h5g4 d7g4,1615,73,95,3887,advantage opening short trappedPiece,https://lichess.org/MbJRo6PT#21
002Cw,r7/2p2r1k/p2p1q1p/Pp1P4/1P2P3/2PQ4/6R1/R5K1 b - - 2 28,f7g7 e4e5 f6g6 g2g6,1165,76,98,351,crushing discoveredAttack endgame short,https://lichess.org/lxiSa85s/black#56
002E4,8/8/kpq5/p4pQp/P7/7P/3r2P1/4R2K b - - 10 48,c6a4 g5d2,974,92,18,35,crushing endgame hangingPiece oneMove,https://lichess.org/JwMca3Nw/black#96
002IE,r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16,c6e5 d4e5 d6e7 e5f6,1449,128,33,13,advantage fork middlegame short,https://lichess.org/fDwvVUIp/black#32
002LW,3r1rk1/1b1n1pp1/3p4/p4PPQ/4P3/3q1BN1/8/2R2RK1 b - - 1 28,d7e5 f5f6 e5f3 f1f3,2460,89,76,96,advantage middlegame short,https://lichess.org/0khwj5dv/black#56
002Tf,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1576,76,85,147,advantage fork opening short,https://lichess.org/Zq56PwHK#13
002rj,2k5/p1pp1p2/1p3Bb1/7p/1nP3PP/1P2rP2/PK6/3R1B1R w - - 7 22,f1g2 e3e2 d1d2 e2d2,1315,92,70,38,advantage fork middlegame short,https://lichess.org/JbCsF5hm#43
002uV,r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20,d3f5 e6f5 e1e7 c6e7,1616,78,79,58,advantage middlegame short,https://lichess.org/WKH5eIti#39
002xh,2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,1962,123,79,11,crushing endgame long,https://lichess.org/TfRvsd3p/black#84
003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1750,74,90,326,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53
003YT,r1bqk1nr/1pp2ppp/p1pb4/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,d8f6 d4e5 d6e5 c1g5 f6d6 f3e5 d6d1 f1d1,1729,167,-60,10,advantage fork opening veryLong,https://lichess.org/TAffogpQ/black#12
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1228,77,93,1497,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72
003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,932,82,89,326,crushing endgame fork short,https://lichess.org/n0UvwK36#73
